v0.6.1,,,,,,,,,,
CÓDIGO,UNIDAD,"MATERIAL BÁSICO","MATERIAL 1","MATERIAL 2","MATERIAL 3",Masa,Masa,Masa,"TOTAL KG","FACTOR DE CALCULO HCE"
P01AF230,t,"Árido machaqueo 18/25 D.A.<35","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF231,t,"Árido machaqueo 18/25 D.A.<30","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF240,t,"Árido machaqueo 25/40 D.A.<35","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF241,t,"Árido machaqueo 25/40 D.A.<30","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF245,t,"Árido machaqueo 0/3 D.A.<25","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF246,t,"Árido machaqueo 3/6 D.A.<25","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF250,t,"Árido machaqueo 0/6 D.A.<25","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF260,t,"Árido machaqueo 6/12 D.A.<25","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF270,t,"Árido machaqueo 12/18 D.A.<25","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF280,t,"Árido machaqueo 18/25 D.A.<25","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF290,t,"Árido machaqueo 25/40 D.A.<25","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF300,t,"Árido machaqueo 0/6 D.A.<20","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF301,t,"Árido machaqueo 0/3 D.A.<20","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF310,t,"Árido machaqueo 6/12 D.A.<20","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
